publisher,n,pub_type_rater_1,pub_type_rater_2,description,notes
escholarship.org,36,University / institutional repositories,University presses,"eScholarship is the University of California’s institutional repository (hosts theses, articles, reports).","Up for debate given it is directly university funded, caters primarily to california universities, and also has a publishing wing"
journals.uchicago.edu,10,University / institutional repositories,University presses,University of Chicago Press is the academic press of the University of Chicago.,
cambridge.org,7,University presses,University presses,Cambridge University Press is the university press of the University of Cambridge.,
iopscience.iop.org,35,Scholarly society / association publishers,Scholarly society / association publishers,IOPscience is operated by the Institute of Physics (a learned society) as its publishing arm.,
ascelibrary.org,15,Scholarly society / association publishers,Scholarly society / association publishers,American Society of Civil Engineers is a professional society that publishes civil engineering journals.,
jacionline.org,3,Commercial academic publishers,Scholarly society / association publishers,"The Journal of Allergy and Clinical Immunology is published by Elsevier, a for-profit academic publisher .",
psycnet.apa.org,3,Scholarly society / association publishers,Scholarly society / association publishers,APA PsycNet is the platform for American Psychological Association publications,
papers.ssrn.com,61,Preprint / working paper servers,Preprint / working paper servers,SSRN is an open-access repository for early-stage research/preprints in social sciences.,
biorxiv.org,2,Preprint / working paper servers,Preprint / working paper servers,bioRxiv is an open preprint server for biology (Cold Spring Harbor Lab) where researchers post manuscripts prior to peer review.,
mdpi.com,42,Open access publishers,Open access publishers,"MDPI is an open-access publisher, all journals OA via APCs.",
frontiersin.org,34,Open access publishers,Open access publishers,Frontiers Media SA is a nonprofit open-access publisher of peer-reviewed scientific journals.,
journals.plos.org,7,Open access publishers,Open access publishers,PLOS (Public Library of Science) is a nonprofit open-access publisher of scientific journals.,
Scientific Research Publishing,4,Open access publishers,Open access publishers,SCIRP – publisher of 200+ open-access journals,
HeinOnline,127,Legal / policy databases,Legal / policy databases,HeinOnline is a subscription-based online legal research database specializing in law journals and government documents,"Looking into Hein, it appears it did start out as a primarily legal platform but has diversified over the years into a generic commercial publisher. I don't think we can assume that something published through there definitely is law related though it is likely"
JSTOR,25,Grey literature platforms,Grey literature platforms,"JSTOR (part of non-profit ITHAKA) is a digital library/archive of scholarly journals and books. Digital library/aggregator, not the original publisher.",
books.google.com,25,Grey literature platforms,Grey literature platforms,Google Books aggregator/scans; identify original publisher if possible.,
researchgate.net,17,Grey literature platforms,Grey literature platforms,ResearchGate is a commercial academic social network (not a publisher); it hosts author-uploaded papers.,
upload.wikimedia.org,7,Grey literature platforms,Grey literature platforms,Wikimedia Commons is a free media file repository of public-domain and open-license educational content.,
rff.org,6,Grey literature platforms,Grey literature platforms,RFF is an independent nonprofit environmental economics research institute (think tank).,
ingentaconnect.com,4,Grey literature platforms,Grey literature platforms,"Ingenta Connect is a content hosting platform for scholarly publications (not an original publisher). It hosts over 5 million articles and 16,000 publications from ~140 publishers",
core.ac.uk,4,Grey literature platforms,Grey literature platforms,Aggregator for open-access repository content (not original publisher).,
osti.gov,138,Government repositories,Government repositories,OSTI.gov is the U.S. DOE Office of Scientific and Technical Information repository.,
rosap.ntl.bts.gov,40,Government repositories,Government repositories,ROSAP is the National Transportation Library’s Repository & Open Science Access Portal (U.S. DOT).,
ntrs.nasa.gov,14,Government repositories,Government repositories,NASA’s Technical Reports Server (NTRS) is a U.S. government open access repository for NASA-funded research,
ehp.niehs.nih.gov,13,Government repositories,Government repositories,Environmental Health Perspectives is an open-access journal published by the U.S. NIH/NIEHS (government-supported),
pmc.ncbi.nlm.nih.gov,12,Government repositories,Government repositories,Government-hosted domain; repository or agency publisher.,
repository.library.noaa.gov,11,Government repositories,Government repositories,NOAA’s library repository provides access to NOAA scientific reports and publications.,
epa.gov,6,Government repositories,Government repositories,The U.S. Environmental Protection Agency is a federal government agency; its site provides access to environmental research (official .gov site).,
research.fs.usda.gov,6,Government repositories,Government repositories,The USDA Forest Service (a federal agency) site provides access to Forest Service research (government publications).,
search.proquest.com,212,University / institutional repositories,University / institutional repositories,"ProQuest is a global information-content company providing subscription-based access to academic databases, dissertations, and journals.","could also be ""commercial academic publisher"" but their subscriptions are not for individual consumers, only institutions, making it more like ""Dissertations..."" category"
digitalcommons.mtech.edu,6,University / institutional repositories,University / institutional repositories,Digital Commons @ Montana Tech is the university library’s open-access repository of faculty and student work,
digitalcommons.unl.edu,6,University / institutional repositories,University / institutional repositories,DigitalCommons@Nebraska-Lincoln is UNL’s institutional repository of scholarly content.,
scholarworks.umt.edu,4,University / institutional repositories,University / institutional repositories,"ScholarWorks at University of Montana is an institutional repository (hosted via Digital Commons) that archives and provides access to UMT faculty and student scholarship, including theses and dissertations",
scholarworks.umass.edu,3,University / institutional repositories,University / institutional repositories,"Institutional repository archiving theses, dissertations, and faculty outputs. (https://scholarworks.umass.edu)",
catalysis.eprints.iitm.ac.in,3,Grey literature platforms,University / institutional repositories,"The National Centre for Catalysis Research (NCCR) is at the Indian Institute of Technology–Madras. While many U.S.-based academic centers are classified as grey literature because they primarily release reports and policy briefs, IIT Madras’s NCCR functions as a formal research center that also archives theses and peer-reviewed publications. For this reason, we categorized it as a Dissertations & theses repository rather than a grey literature platform.",
conservancy.umn.edu,3,University / institutional repositories,University / institutional repositories,"The University of Minnesota’s Digital Conservancy is the institutional repository for UMN. It provides long-term, open access to faculty publications and student works (including dissertations and theses) as part of the library’s mission to preserve scholarly output",
Elsevier,118,Commercial academic publishers,Commercial academic publishers,For-profit multinational academic publisher.,
Springer,88,Commercial academic publishers,Commercial academic publishers,Springer Nature is a global for-profit academic publisher. Part of Springer Nature; commercial scholarly publisher.,
Taylor &Francis,58,Commercial academic publishers,Commercial academic publishers,For-profit academic publisher of journals and books.,
liebertpub.com,53,Commercial academic publishers,Commercial academic publishers,"Mary Ann Liebert, Inc. is a scientific journal publisher (now part of Sage).",
Wiley Online Library,46,Commercial academic publishers,Commercial academic publishers,Wiley is a for-profit global academic publisher.,
journals.sagepub.com,33,Commercial academic publishers,Commercial academic publishers,SAGE Publications is an independent international academic publisher.,
nature.com,29,Commercial academic publishers,Commercial academic publishers,Nature Portfolio (Springer Nature); commercial scholarly publisher.,
thieme-connect.com,3,Commercial academic publishers,Commercial academic publishers,"Thieme Connect is the online platform of Thieme Medical Publishers, a global for-profit publisher of academic journals and books",
urban.org,19,Grey literature platforms,,Urban Institute is a nonprofit policy research organization (think tank) producing reports; not a formal publisher.,
deepblue.lib.umich.edu,18,University / institutional repositories,,"University of Michigan library: ""Our repositories give you safe and permanent access to the work that makes the University of Michigan a leader in research, teaching, learning, and creativity, whether that work is in the form of documents or data.""",
academic.oup.com,18,University presses,,Oxford University Press is the publishing house of the University of Oxford (the world’s largest university press).,
ACS Publications,17,Scholarly society / association publishers,,ASCE Library – journals of American Society of Civil Engineers.,
ui.adsabs.harvard.edu,14,Scholarly society / association publishers,,SAO/NASA Astrophysics Data System (ADS) is a NASA-funded digital library for astronomy/physics papers.,
taylorfrancis.com,13,Commercial academic publishers,,Taylor & Francis Group is an international company originating in the United Kingdom that publishes books and academic journals.,
dukespace.lib.duke.edu,12,University / institutional repositories,,"DukeSpace: publications, theses, and dissertations by Duke faculty and students. Theses and dissertations are a secondary type.",
peer.asee.org,11,Scholarly society / association publishers,,ASEE (American Society for Engineering Education) is a non-profit society for engineering education that publishes conference proceedings/journals.,
ieeexplore.ieee.org,11,Scholarly society / association publishers,,IEEE (Institute of Electrical and Electronics Engineers) is a professional association,
search.ebscohost.com,10,Commercial academic publishers,,EBSCOhost is a for-profit provider of subscription research databases for libraries.,
repositories.lib.utexas.edu,10,University / institutional repositories,,Texas ScholarWorks is UT Austin’s institutional repository of faculty publications,
ir.library.oregonstate.edu,8,University / institutional repositories,,ScholarsArchive@OSU is Oregon State University’s open-access institutional repository.,
vtechworks.lib.vt.edu,8,University / institutional repositories,,"VTechWorks is Virginia Tech’s open-access repository of scholarship (articles, theses, reports)",
jamanetwork.com,8,Scholarly society / association publishers,,JAMA Network is a consortium of peer-reviewed medical journals published by the American Medical Association (AMA). ,
journals.lww.com,7,Commercial academic publishers,,"LWW (Lippincott Williams & Wilkins) is an imprint of Wolters Kluwer, a commercial medical publisher",
ideals.illinois.edu,7,University / institutional repositories,,IDEALS is the University of Illinois’s institutional repository of research outputs.,
arxiv.org,7,Preprint / working paper servers,,"arXiv is a free open-access archive for preprints in physics, math, CS, etc..",
essopenarchive.org,6,Preprint / working paper servers,,The ESS Open Archive (formerly ESSOAr) is a community-run preprint server for Earth and environmental sciences.,
minds.wisconsin.edu,6,University / institutional repositories,,MINDS@UW is University of Wisconsin–Madison’s open-access institutional repository.,
direct.mit.edu,6,University presses,,The MIT Press is the university press of MIT.,
pnas.org,6,Scholarly society / association publishers,,PNAS (Proceedings of the National Academy of Sciences) is published by the U.S. National Academy of Sciences (a learned society).,
atsjournals.org,6,Scholarly society / association publishers,,American Thoracic Society is a medical society (Pulmonary medicine) that publishes ATS journals.,
library.oapen.org,6,Open access publishers,,OAPEN is an online library of peer-reviewed open-access academic books (nonprofit infrastructure).,
aceee.org,6,Grey literature platforms,,"ACEEE is the American Council for an Energy-Efficient Economy, a nonprofit energy-policy research organization.",
ncbi.nlm.nih.gov,5,Government repositories,,"NCBI (e.g., PubMed Central) run by U.S. NIH (government).",
annualreviews.org,5,Commercial academic publishers,,Annual Reviews is a nonprofit publisher of peer-reviewed review journals (some content open access).,
go.gale.com,5,Grey literature platforms,,Gale/Cengage academic database (aggregator),
cdr.lib.unc.edu,5,University / institutional repositories,,"UNC’s Carolina Digital Repository (theses, etc.)",
ahajournals.org,5,Scholarly society / association publishers,,American Heart Association (nonprofit) publishes AHA journals (e.g. Circulation) – a professional medical society.,
meridian.allenpress.com,5,Scholarly society / association publishers,,Allen Press Meridian platform (hosts society journals),
law.berkeley.edu,5,Legal / policy databases,,Berkeley Law scholarship/working papers (institutional content).,
academiccommons.columbia.edu,5,University / institutional repositories,,Academic Commons is Columbia University’s open-access repository of faculty research.,
scholarscompass.vcu.edu,5,University / institutional repositories,,VCU institutional repository (Digital Commons).,
dspace.mit.edu,4,University / institutional repositories,,MIT DSpace institutional repository.,
cell.com,4,Commercial academic publishers,,Cell Press (Elsevier); commercial scholarly publisher.,
digitalcommons.humboldt.edu,4,University / institutional repositories,,Cal Poly Humboldt Digital Commons (theses/projects).,
jscholarship.library.jhu.edu,4,University / institutional repositories,,"JScholarship is Johns Hopkins University’s institutional repository for scholarly works. Managed by the library, it preserves and provides open access to JHU research outputs, including theses and dissertations",
repository.gatech.edu,4,University / institutional repositories,,"Georgia Tech’s institutional repository (GT Digital Repository) openly archives and preserves theses, dissertations, and other research produced at Georgia Tech",
wri.org,4,Grey literature platforms,,The World Resources Institute (WRI) is a nonprofit research organization that publishes data-driven reports and policy briefs on environmental and development issues (grey literature),
bren.ucsb.edu,4,University / institutional repositories,,Institutional site (UCSB Bren School); reports/working papers.,
thelancet.com,4,Commercial academic publishers,,"The Lancet is a leading medical journal (founded 1823) published by Elsevier, a for-profit academic publisher, since 1991",
wyoscholar.uwyo.edu,4,University / institutional repositories,,"WyoScholar is the University of Wyoming’s open-access institutional repository. It hosts UW graduate and undergraduate papers, theses, dissertations, faculty publications, and other collections",
aacrjournals.org,4,Scholarly society / association publishers,,American Association for Cancer Research journals (society publisher).,
ageconsearch.umn.edu,4,Preprint / working paper servers,,Disciplinary repository for working papers & reports in agricultural/applied economics.,
ajph.aphapublications.org,4,Scholarly society / association publishers,,American Public Health Association (AJPH) society journal.,
apha.confex.com,4,Scholarly society / association publishers,,APHA conference abstracts/proceedings (society).,
authorea.com,4,Preprint / working paper servers,,Preprint/authoring platform; early-stage manuscripts.,
par.nsf.gov,4,Government repositories,,"This is the NSF Public Access Repository (NSF-PAR), a government-run portal for disseminating results of NSF-funded research. It contains peer-reviewed manuscripts and journal publications as required by the NSF Public Access policy",
accesswater.org,3,Scholarly society / association publishers,,"Access Water is the Water Environment Federation’s online platform for technical publications. WEF (a professional association in water management) uses AccessWater to publish manuals of practice, conference papers, technical reports, etc., for the water sector",
scholarworks.calstate.edu,3,University / institutional repositories,,"Institutional repository archiving theses, dissertations, and faculty outputs. (https://scholarworks.calstate.edu)",
iwaponline.com,3,Scholarly society / association publishers,,"IWA Publishing is the publishing arm of the International Water Association, producing peer-reviewed journals and books in water science and technology .",
intechopen.com,3,Preprint / working paper servers,,"EarthArXiv is an open-access preprint server for Earth and planetary sciences. It hosts preprints (unpeer-reviewed scholarly papers) in all Earth science domains, allowing rapid, free dissemination of research prior to journal publication",
nicholasinstitute.duke.edu,3,Grey literature platforms,,Duke University’s Nicholas Institute is an applied environmental research center; its website provides research reports and briefs ,
media.rff.org,3,Grey literature platforms,,"Resources for the Future (RFF) is a nonprofit research institute. Its “media.rff.org” hosts reports, policy briefs, and data (grey literature) .",
scholarworks.wm.edu,3,University / institutional repositories,,"Institutional repository archiving theses, dissertations, and faculty outputs. (https://scholarworks.wm.edu)",
repository.upenn.edu,3,University / institutional repositories,,"Institutional repository archiving theses, dissertations, and faculty outputs from University of Pennsylvania",
cpr-assets.s3.amazonaws.com,3,Grey literature platforms,,“cpr-assets” is the document repository for the Center for Progressive Reform. CPR is a nonprofit research and advocacy organization that publishes independent policy analyses and reports (e.g. PDFs of studies on this S3 platform),
c2es.org,3,Grey literature platforms,,Nonprofit/organization site publishing reports/briefs (grey literature). (https://c2es.org),
pubs.usgs.gov,3,Government repositories,,USGS Publications Warehouse (pubs.usgs.gov) is the official U.S. Geological Survey repository for its scientific reports and data,
dl.acm.org,3,Scholarly society / association publishers,,"The ACM Digital Library is the publishing platform of the Association for Computing Machinery (a scholarly society). It hosts ACM’s peer-reviewed journals, magazines, and conference proceedings in the computing field",
search.issuelab.org,3,Grey literature platforms,,IssueLab (now part of Candid) is an open repository of research reports by foundations and NGOs –,
shareok.org,3,University / institutional repositories,,SHAREOK is the open institutional repository of the University of Oklahoma (OU) (and UCO),
eartharxiv.org,3,Grey literature platforms,,Nonprofit/organization site publishing reports/briefs (grey literature). (https://eartharxiv.org),
digital.lib.washington.edu,3,University / institutional repositories,,The University of Washington’s ResearchWorks Archive (digital.lib.washington.edu) is UW’s institutional repository for scholarly work,
atlaspolicy.com,3,Grey literature platforms,,Atlas Public Policy is a policy research group that produces independent analyses and reports on energy and transportation policy (grey literature). Their data-driven reports provide decision-relevant information for policymakers,
muse.jhu.edu,3,University presses,,"Project MUSE is a nonprofit collaboration led by Johns Hopkins University Press and university library partners, hosting scholarly books and journals from university presses",
dpceonline.it,3,Scholarly society / association publishers,,DPCE Online (Diritto Pubblico Comparato ed Europeo Online) is a peer-reviewed open-access law journal in comparative public law. It is published under the auspices of the Associazione DPCE (an academic society of comparative public law scholars),
digitalcommons.calpoly.edu,3,University / institutional repositories,,"DigitalCommons@CalPoly is Cal Poly’s institutional digital archive. It preserves and shares the university community’s research, scholarship, and publications (including master’s theses and senior projects) on an open-access platform",
baylor-ir.tdl.org,3,University / institutional repositories,,"BEARdocs (baylor-ir.tdl.org) is Baylor University’s institutional repository, part of the Texas Digital Library network. It archives Baylor’s theses, dissertations, and other scholarly works for open access",
cdn.catf.us,2,Grey literature platforms,,The Clean Air Task Force (catf.us) is a nonprofit climate/environmental advocacy group,
academia.edu,2,Grey literature platforms,,"Academia.edu is a commercial social networking platform for academics to share papers (user-uploaded content, not formally peer-reviewed)",
World Scientific,2,Commercial academic publishers,,World Scientific Publishing is a leading independent academic publisher (for-profit) of scholarly books and journals,
api.mountainscholar.org,2,University / institutional repositories,,"Mountain Scholar is Colorado State University’s open-access institutional repository, collecting and preserving CSU scholarly works ",
auf.isa-arbor.com,2,Scholarly society / association publishers,,AUF (Arboriculture & Urban Forestry) is the peer-reviewed journal of the International Society of Arboriculture ,
cec.org,2,Government repositories,,The Commission for Environmental Cooperation (CEC) is a tri-national (US/Canada/Mexico) environmental body,
apps.ecology.wa.gov,2,Government repositories,,"This is the Washington State Department of Ecology’s publications portal, which provides access to the agency’s environmental reports and forms ",
cedar.wwu.edu,2,University / institutional repositories,,"CEDAR is Western Washington University’s open-access institutional repository for faculty, student and staff scholarship",
cfm.va.gov,2,Government repositories,,The Office of Patient Centered Care & Cultural Transformation (VA) “CFM” portal provides clinical practice guidelines and reports,
climatejustice.ubc.ca,2,Grey literature platforms,,UBC’s Climate Justice Hub is a university-affiliated research initiative; its site shares reports and resources on climate justice (non‐peer-reviewed policy analysis).,
coloradoriverrecovery.org,2,Grey literature platforms,,The Colorado River Recovery Program is a U.S. Department of the Interior initiative; its site hosts research reports on river ecology ,
dash.harvard.edu,2,University / institutional repositories,,DASH (Digital Access to Scholarship at Harvard) is Harvard’s open-access institutional repository (Digital Commons) for Harvard faculty and student scholarship,
dbpia.co.kr,2,Commercial academic publishers,,DBpia is a South Korean commercial academic platform (publisher/aggregator) of scholarly journals and papers ,
digitalcommons.law.lsu.edu,2,University / institutional repositories,,LSU Law Digital Commons is the institutional repository of the LSU Paul M. Hebert Law Center,
digitalcommons.wku.edu,2,University / institutional repositories,,"TopSCHOLAR is Western Kentucky University’s open-access institutional repository (Digital Commons) for faculty, student and staff scholarship",
digitalrepository.unm.edu,2,University / institutional repositories,,"UNM Digital Repository is the University of New Mexico’s open-access institutional repository for scholarship and research from UNM faculty, staff and students",
digitalshowcase.lynchburg.edu,2,University / institutional repositories,,Digital Showcase is the University of Lynchburg’s open-access institutional repository (Knight-Capron Library) for selected university scholarship[22],
eap.wisc.edu,2,Grey literature platforms,,UW–Madison’s Energy Analysis and Policy (EAP) program site shares research projects and reports on energy and environmen,
earthjustice.org,2,Grey literature platforms,,Earthjustice is a nonprofit public-interest environmental law organization,
ecoevorxiv.org,2,Preprint / working paper servers,,EcoEvoRxiv is an open preprint repository for ecology and evolutionary biology,
econstor.eu,2,Open access publishers,,"EconStor is an open-access repository for economics literature (working papers, articles) run by the ZBW Leibniz Information Centre ",
elischolar.library.yale.edu,2,University / institutional repositories,,"Institutional repository archiving theses, dissertations, and faculty outputs. (https://elischolar.library.yale.edu)",
emerald.com,2,Commercial academic publishers,,"Emerald Publishing is a global for-profit publisher of academic journals and books (primarily in management, business, library science).",
engrxiv.org,2,Grey literature platforms,,engrXiv is an open preprint archive for engineering research (hosted by Open Engineering Inc.),
espis.boem.gov,2,Government repositories,,ESPIS (Environmental Studies Program Information System) is the U.S. BOEM (Bureau of Ocean Energy Management) repository of coastal/ocean research reports,
gsa.gov,2,Government repositories,,The U.S. General Services Administration (GSA) is a federal agency; its website provides official government reports and resources ,
hollowaygroup.org,2,Grey literature platforms,,The Holloway Group (University of Wisconsin) is a research group on air quality,
indigo.uic.edu,2,University / institutional repositories,,"Indigo is the University of Illinois Chicago’s institutional repository, hosting scholarly works by UIC faculty, students and staff.",
ir.library.louisville.edu,2,University / institutional repositories,,ThinkIR is the University of Louisville’s open-access institutional repository for the Louisville community’s research (faculty and student works).,
irlaw.umkc.edu,2,Legal / policy databases,,,
jacc.org,2,Commercial academic publishers,,JACC (Journal of the American College of Cardiology) is the flagship journal of the American College of Cardiology; it is published by Elsevier ,
journals.ametsoc.org,2,Scholarly society / association publishers,,These journals are published by the American Meteorological Society (AMS),
knowledge.uchicago.edu,2,University / institutional repositories,,Knowledge@UChicago is the University of Chicago’s open institutional repository for faculty and student scholarship ,
nap.nationalacademies.org,2,Government repositories,,The National Academies Press (NAP) publishes reports by the U.S. National Academies; it provides free access to government-supported science and engineering reports,
nrdc.org,2,Grey literature platforms,,The Natural Resources Defense Council (NRDC) is a nonprofit environmental advocacy group; its website offers reports and policy analyses on environmental issues ,
nwarpc.org,2,Government repositories,,The Northwest Arkansas Regional Planning Commission is a local government planning body; its site provides regional planning reports and studies,
osf.io,2,Grey literature platforms,,"The Open Science Framework (OSF) is a nonprofit platform for sharing research outputs (preprints, data, project materials) outside traditional publishing channels",
planning.erdc.dren.mil,2,Government repositories,,The U.S. Army Corps of Engineers Engineer Research & Development Center (ERDC) site (erdc.dren.mil) hosts technical reports and research ,
policycommons.net,2,Grey literature platforms,,"Policy Commons is an aggregator of policy research from think tanks, NGOs and government",
povertyactionlab.org,2,Grey literature platforms,,The Abdul Latif Jameel Poverty Action Lab (J-PAL) is a nonprofit research organization at MIT;,
prpr.cni.re.kr,2,Grey literature platforms,,PRPR (충남연구원 정책연구플랫폼) is the Policy Research Platform of the Chungnam Research Institute (South Korea); it provides access to regional policy research reports.,
