publisher,n,pub_type_rater_1,pub_type_rater_2,description,notes
railcdc.org,2,Grey literature platforms,,Community development nonprofit; publishes local reports/resources.,
rave.ohiolink.edu,2,University / institutional repositories,,OhioLINK ETD links use rave subdomain; institutional theses/dissertations.,
rd.usda.gov,2,Government repositories,,USDA Rural Development official site hosts federal publications/reports.,
repository.arizona.edu,2,University / institutional repositories,,"UA institutional repository for theses, articles, datasets.",
researchsquare.com,2,Preprint / working paper servers,,Preprint platform for early-stage manuscripts (Springer Nature partner).,
rongyidianshang.com,2,None/Unknown,,Not in English,
scholar.archive.org,2,Grey literature platforms,,"Internet Archive Scholar discovery/aggregation—hosts copies, not original publisher.",
science.org,2,Grey literature platforms,,AAAS society publishes Science family of journals.,
sciencepolicyjournal.org,2,Scholarly society / association publishers,,"JSPG nonprofit OA, peer‑reviewed policy journal.",
stacks.cdc.gov,2,Government repositories,,CDC Stacks—official CDC publications repository.,
trid.trb.org,2,Government repositories,,"TRID index/abstracts database (catalog), under The National Academies of Sciences, Engineering, and Medicine.",
twj-ojs-tdl.tdl.org,2,Grey literature platforms,,Texas Water Journal on TDL OJS; peer‑reviewed OA journal.,
ucs.org,2,Grey literature platforms,,Union of Concerned Scientists ,
udspace.udel.edu,2,University / institutional repositories,,University of Delaware DSpace institutional repository.,
wvww.naseo.org,2,Scholarly society / association publishers,,National Association of State Energy Officials,
CEQ,1,Government repositories,,Council on Environmental Quality—Executive Office of the President; official publications.,
ERIC,1,Government repositories,,evidence=https://eric.ed.gov; U.S. Dept. of Education index/repository for education research.,
Google Patents,1,Grey literature platforms,,Patent search/aggregation platform; not academic publishing.,
The Korean Association of …,1,Commercial academic publishers,,Journal of the Korean Association of Geographic Information Studies,
White House press release …,1,Government repositories,,Official federal releases on whitehouse.gov.,
acpjournals.org,1,Scholarly society / association publishers,,American College of Physicians publishes peer‑reviewed journals.,
aeaweb.org,1,Scholarly society / association publishers,,"American Economic Association—journals (AER, AEJ), proceedings.",
airalliancehouston.org,1,Grey literature platforms,,"Nonprofit advocacy; publishes reports/briefs, not peer‑reviewed journals.",
ajconline.org,1,Commercial academic publishers,,The American Journal of Cardiology published by Elsevier (commercial).,
alexandriava.gov,1,Government repositories,,Municipal government site hosting city documents/reports.,
amargosaconservancy.org,1,Grey literature platforms,,Nonprofit conservation org producing reports.,
amjtransplant.org,1,Commercial academic publishers,,American Journal of Transplantation,
anacostiariverkeeper.org,1,Grey literature platforms,,Nonprofit; publishes monitoring reports and briefs.,
api.taylorfrancis.com,1,Commercial academic publishers,,Taylor & Francis API domain; commercial academic publisher.,
apps.dtic.mil,1,Government repositories,,Defense Technical Information Center—DoD technical reports.,
aquadoc.typepad.com,1,Grey literature platforms,,Professional blog; not an academic publisher.,
arch.umd.edu,1,Grey literature platforms,,University school center posting institutional materials and reports.,
army.mil,1,Government repositories,,Official U.S. Army site with publications/technical reports.,
ars.usda.gov,1,Government repositories,,USDA Agricultural Research Service publications (federal agency).,
asset.pearlcertification.com,1,Grey literature platforms,,Private company site; white papers/marketing resources.,
bakerbotts.com,1,Grey literature platforms,,Law firm client alerts/white papers; not scholarly publishing.,
benthamdirect.com,1,Commercial academic publishers,,Bentham Science/Bentham Open—commercial journal publisher.,
beyondtoxics.org,1,Grey literature platforms,,Nonprofit EJ advocacy; publishes reports/briefs.,
bio-conferences.org,1,Grey literature platforms,,EDP Sciences OA conference proceedings platform.,
blsa.studentorg.berkeley.edu,1,Scholarly society / association publishers,,Student organization site (institutional content).,
boem.gov,1,Government repositories,,Bureau of Ocean Energy Management—federal agency publications.,
brill.com,1,Commercial academic publishers,,International academic publisher (books/journals).,
cabidigitallibrary.org,1,Grey literature platforms,,CABI (intergovernmental nonprofit) publishes journals/books and hosts a digital library.,
cdc.gov,1,Government repositories,,CDC is a U.S. federal public health agency; official reports/guidance.,
cdt.org,1,Grey literature platforms,,Center for Democracy & Technology—nonprofit policy research/advocacy publications.,
cebra.s3.amazonaws.com,1,Grey literature platforms,,Association,
ceeol.com,1,Grey literature platforms,,Central and Eastern European Online Library is an aggregator/hosting platform for journals/books; not original publisher of record.,
chargevc.org,1,Grey literature platforms,,Organization site posting updates/reports; not scholarly publishing.,
chem.tti.tamu.edu,1,Grey literature platforms,,Texas A&M Transportation Institute program page; hosts reports/data.,
chemrxiv.org,1,Preprint / working paper servers,,Chemistry preprint server (ACS and partners).,
chesapeakebay.net,1,Grey literature platforms,,EPA-led partnership portal; official data/reports.,
chhs.fresnostate.edu,1,University / institutional repositories,,College site disseminating institutional materials.,
china-ces.org,1,Scholarly society / association publishers,,Chinese Economists Society—association with journals/conference proceedings.,
cityparksalliance.org,1,Grey literature platforms,,Nonprofit; publishes policy briefs/reports.,
climate.hawaii.gov,1,Government repositories,,State of Hawai‘i climate portal with official plans/reports.,
climateadvocacylab.org,1,Grey literature platforms,,Nonprofit project publishing toolkits/reports.,
climateandsecurity.org,1,Scholarly society / association publishers,,Council on Strategic Risks program publishing reports/analyses.,
cloud.env.nm.gov,1,Government repositories,,New Mexico Environment Department—official documents/data.,
cnu.org,1,Grey literature platforms,,Congress for the New Urbanism—nonprofit publishing reports/policy.,
coastal.la.gov,1,Government repositories,,Louisiana CPRA—state agency plans/reports/data.,
columbiascwater.net,1,Grey literature platforms,,Municipal water utility posting official documents.,
copi.helunahealth.org,1,Grey literature platforms,,Public health nonprofit program; reports/resources.,
cris.unibo.it,1,University / institutional repositories,,University of Bologna CRIS/IRIS repository for research outputs.,
criticalcare.theclinics.com,1,Commercial academic publishers,,Elsevier Clinics series (commercial academic publisher).,
criticaldebateshsgj.scholasticahq …,1,Open access publishers,,Scholastica‑hosted OA journal platform.,
csus.edu,1,University / institutional repositories,,University site publishing institutional content and reports.,
cureus.com,1,Open access publishers,,OA medical journal platform with peer review.,
dhhs.utah.gov,1,Government repositories,,Utah DHHS—state agency publications.,
digital.library.ncat.edu,1,University / institutional repositories,,"North Carolina A&T institutional repository (DSpace) for theses, dissertations, and research outputs.",
digital.wpi.edu,1,University / institutional repositories,,"Worcester Polytechnic Institute Digital WPI repository, hosting theses, dissertations, and faculty research.",
digitalcommons.bucknell.edu,1,University / institutional repositories,,Bucknell University institutional repository (Digital Commons) for student/faculty work.,
digitalcommons.conncoll.edu,1,University / institutional repositories,,Connecticut College institutional repository (Digital Commons) archiving theses and scholarly works.,
digitalcommons.csumb.edu,1,University / institutional repositories,,"CSU Monterey Bay Digital Commons repository, archiving theses, capstones, and research.",
digitalcommons.du.edu,1,University / institutional repositories,,"University of Denver Digital Commons repository, theses/dissertations and faculty publications.",
digitalcommons.fiu.edu,1,University / institutional repositories,,"Florida International University Digital Commons repository, theses and scholarly outputs.",
digitalcommons.library.umaine.edu,1,University / institutional repositories,,"University of Maine Digital Commons repository for theses, dissertations, faculty publications.",
digitalcommons.lmu.edu,1,University / institutional repositories,,Loyola Marymount University Digital Commons repository archiving theses and scholarly works.,
digitalcommons.memphis.edu,1,University / institutional repositories,,University of Memphis institutional repository (Digital Commons) for theses and research.,
digitalcommons.mtu.edu,1,University / institutional repositories,,"Michigan Tech Digital Commons repository hosting theses, dissertations, and reports.",
digitalcommons.pace.edu,1,University / institutional repositories,,"Pace University Digital Commons repository archiving theses, dissertations, and scholarly works.",
digitalcommons.providence.edu,1,University / institutional repositories,,Providence College Digital Commons repository for theses and scholarly content.,
digitalcommons.unmc.edu,1,University / institutional repositories,,"Univ. of Nebraska Medical Center institutional repository for theses, dissertations, and scholarly output.",
digitalcommons.uri.edu,1,University / institutional repositories,,"University of Rhode Island Digital Commons repository for theses, dissertations, and faculty works.",
digitalcommons.usu.edu,1,University / institutional repositories,,Utah State University Digital Commons institutional repository for theses and scholarly works.,
digitalrepository.salemstate.edu,1,University / institutional repositories,,"Salem State University DSpace repository hosting theses, dissertations, and reports.",
digitalworks.union.edu,1,University / institutional repositories,,"Union College Digital Works repository, archiving theses and scholarly outputs.",
dione.lib.unipi.gr,1,University / institutional repositories,,University of Piraeus institutional repository (in Greek/English) for theses and dissertations.,
docs.lib.purdue.edu,1,University / institutional repositories,,"Purdue University institutional repository for dissertations, theses, and faculty publications.",
drum.lib.umd.edu,1,University / institutional repositories,,Digital Repository at the University of Maryland (DRUM) for dissertations and research.,
dshousing.org,1,Grey literature platforms,,"Nonprofit affordable housing org publishing reports/briefs, not scholarly journals.",
econ.unm.edu,1,Grey literature platforms,,"University of New Mexico Econ Dept site (program-level content, not publishing).",
efifoundation.org,1,Grey literature platforms,,Energy Futures Initiative Foundation—nonprofit publishing reports and analyses.,
electricschoolbusinitiative.org,1,Grey literature platforms,,"Nonprofit project site producing reports/resources, not academic publishing.",
elgaronline.com,1,Commercial academic publishers,,"Edward Elgar Publishing, commercial academic publisher of economics/law books and journals.",
energy.gov,1,Government repositories,,"U.S. DOE official site with technical reports, publications, datasets.",
energyfuturesinitiative.org,1,Grey literature platforms,,Think tank founded by Ernest Moniz; publishes policy reports.,
eprints.lse.ac.uk,1,University / institutional repositories,,"LSE Research Online repository, institutional archive of scholarly research outputs.",
essd.copernicus.org,1,Commercial academic publishers,,"Earth System Science Data journal, published by Copernicus Publications.",
eta-publications.lbl.gov,1,Government repositories,,Lawrence Berkeley National Lab Energy Technologies Area publications repository.,
etd.library.emory.edu,1,University / institutional repositories,,Emory University Electronic Theses and Dissertations repository.,
etda.libraries.psu.edu,1,University / institutional repositories,,Penn State Electronic Theses and Dissertations for Graduate School.,
europepmc.org,1,Open access publishers,,"Europe PMC, OA biomedical literature repository (partnered with PubMed).",
extension.illinois.edu,1,Grey literature platforms,,"University Extension service publishing outreach reports/materials, not scholarly journals.",
faa.gov,1,Government repositories,,"Federal Aviation Administration, U.S. gov. site with technical/public reports.",
figshare.swinburne.edu.au,1,University / institutional repositories,,Swinburne University figshare repository for theses and scholarly works.,
floridadep.gov,1,Government repositories,,"Florida Department of Environmental Protection official site with reports, data.",
flyipt.com,1,Grey literature platforms,,"Airport authority site (Williamsport Regional), publishing local documents only.",
friendsoftheinyo.org,1,Grey literature platforms,,Nonprofit environmental group publishing advocacy reports.,
fs.usda.gov,1,Government repositories,,USDA Forest Service official site for publications and research.,
garnetenergycenter.com,1,Grey literature platforms,,"Private energy project informational site, not an academic publisher.",
grda.com,1,Government repositories,,"Grand River Dam Authority, Oklahoma state agency site.",
greatcitymississippi.org,1,Grey literature platforms,,Local nonprofit/advocacy org publishing reports.,
greenlining.org,1,Grey literature platforms,,Nonprofit policy institute publishing equity reports/briefs.,
hammer.purdue.edu,1,University / institutional repositories,,Purdue Univ. Graduate School Theses and Dissertations repository.,
hbs.edu,1,Grey literature platforms,,Harvard Business School site hosting working papers (not formal publisher).,
healthaffairs.org,1,Commercial academic publishers,,"Peer-reviewed health policy journal published by Project HOPE, a nonprofit but operates commercially.",
implementationscience …,1,Open access publishers,,OA peer‑reviewed journal published by BioMed Central (Springer Nature).,
inldigitallibrary.inl.gov,1,Government repositories,,Idaho National Laboratory digital library (DOE) hosts official reports and publications.,
innovation.luskin.ucla.edu,1,Grey literature platforms,,UCLA Luskin Center for Innovation publishes policy reports and briefs.,
ir.lawnet.fordham.edu,1,University / institutional repositories,,Fordham Law Scholarship Repository (institutional repository for papers and theses).,
isps.yale.edu,1,Grey literature platforms,,Yale Institution for Social and Policy Studies publishes reports/working papers.,
istes.org,1,Scholarly society / association publishers,,ISTES operates academic conferences/journals as a scholarly association.,
j-kosham.or.kr,1,Scholarly society / association publishers,,Korea Society of Hazard Mitigation journal—society publisher.,
jacsdirectory.com,1,Open access publishers,,JACS Directory hosts OA journals across applied sciences.,
janeway.uncpress.org,1,University presses,,UNC Press journals platform (university press).,
jech.bmj.com,1,Commercial academic publishers,,Journal of Epidemiology & Community Health published by BMJ (commercial publisher).,
johnmmorehouse.com,1,Grey literature platforms,,Personal/professional site; occasional reports/posts not peer‑reviewed.,
journal-buildingscities.org,1,Open access publishers,,Buildings and Cities is a peer‑reviewed open‑access journal.,
journal.kaopg.or.kr,1,Scholarly society / association publishers,,Korean academic association journal (society publisher).,
journalissues.org,1,Open access publishers,,Publishes OA journals across disciplines.,
journals-test.library.indianapolis.iu …,1,University / institutional repositories,,IU Library Publishing platform for university‑hosted journals (institutional).,
journals.library.columbia.edu,1,University / institutional repositories,,Columbia University Libraries journal hosting (institutional publishing platform).,
journals.library.iit.edu,1,University / institutional repositories,,Illinois Institute of Technology library‑hosted journals platform.,
journals.librarypublishing.arizona …,1,University / institutional repositories,,University of Arizona Libraries publishing platform for journals (institutional).,
justtransitionforall.com,1,Grey literature platforms,,Advocacy/knowledge hub site publishing briefs and resources.,
kiss.kstudy.com,1,Grey literature platforms,,KISS is a Korean scholarly database/aggregator; not original publisher of record.,
kluwerlawonline.com,1,Legal / policy databases,,Wolters Kluwer law journals and resources database.,
larimer.gov,1,Government repositories,,"Larimer County (CO) official government site—plans, reports, and documents.",
le.uwpress.org,1,University presses,,Land Economics journal from University of Wisconsin Press.,
legacy-assets.eenews.net,1,Grey literature platforms,,E&E News (journalism outlet) archives; not scholarly publishing.,
lindseyresearch.com,1,Grey literature platforms,,Consulting/research firm publishing reports/white papers.,
https://live-socio-spatial-climate-collaborative.pantheon.berkeley.edu/,1,Grey literature platforms,,Socio-Spatial Climate Collaborative at UC Berkley,
louis.pressbooks.pub,1,Grey literature platforms,,Pressbooks platform for OER/open textbooks (library consortium).,
lurepository.lakeheadu.ca,1,University / institutional repositories,,Lakehead University institutional repository (DSpace).,
mackseyjournal.scholasticahq.com,1,Open access publishers,,The Macksey Journal (JHU) hosted on Scholastica; OA journal.,
mavmatrix.uta.edu,1,University / institutional repositories,,University of Texas Arlington institutional repository.,
media.dogwoodalliance.org,1,Grey literature platforms,,Nonprofit advocacy group publishing reports and media.,
media.journoportfolio.com,1,Grey literature platforms,,Portfolio hosting platform for articles; not a publisher.,
media4.manhattan-institute.org,1,Grey literature platforms,,Think tank publishing policy reports and briefs.,
medicosphere.upnjatim.ac.id,1,Open access publishers,,University‑hosted peer‑reviewed OA medical journal.,
medrxiv.org,1,Preprint / working paper servers,,Preprint server for health sciences (uncertified preprints).,
medvixpublications.org,1,Open access publishers,,OA journal publisher site (multiple titles).,
menandsny.gov,1,Government repositories,,Village of Menands (NY) official government site—documents/notices.,
mentalhealth.bmj.com,1,Commercial academic publishers,,BMJ Mental Health journal (BMJ publishing).,
movingforwardnetwork.com,1,Grey literature platforms,,Nonprofit network publishing EJ reports/resources.,
naturalhazardsresiliencecenter.org,1,Grey literature platforms,,University‑based research center publishing reports/outreach.,
netl.doe.gov,1,Government repositories,,U.S. DOE National Energy Technology Laboratory publications and analysis.,
newea.org,1,Scholarly society / association publishers,,NEWEA publishes a professional journal and proceedings.,
nhsjs.com,1,Open access publishers,,"National High School Journal of Science—free, peer‑reviewed OA journal.",
oaktrust.library.tamu.edu,1,University / institutional repositories,,Texas A&M OAKTrust institutional repository.,
oceanconservancy.org,1,Grey literature platforms,,Nonprofit publishes science‑based reports/white papers.,
oewri.missouristate.edu,1,Grey literature platforms,,University research institute publishing technical reports/datasets.,
onepetro.org,1,Scholarly society / association publishers,,Multi‑society technical library led by Society of Petroleum Engineers.,
online.ucpress.edu,1,University presses,,University of California Press journals/books platform.,
onlinepubs.trb.org,1,Scholarly society / association publishers,,Transportation Research Board (NAS) publishes proceedings/reports.,
orb.binghamton.edu,1,University / institutional repositories,,Binghamton University institutional repository (Open Repository @ Binghamton).,
pdxscholar.library.pdx.edu,1,University / institutional repositories,,PDXScholar institutional repository (Portland State University).,
periodicos.fgv.br,1,University presses,,Fundação Getulio Vargas journals platform (university/academic institution).,
phaidra.univie.ac.at,1,University / institutional repositories,,University of Vienna PHAIDRA institutional repository.,
piercecounty.caimaps.info,1,Government repositories,,County GIS/maps portal hosting official datasets/documents.,
planhillsborough.org,1,Government repositories,,Hillsborough County (FL) planning organizations—official plans/reports.,
policyinnovation.org,1,Grey literature platforms,,Policy Innovation org publishes policy analyses and reports.,
policyintegrity.org,1,Grey literature platforms,,NYU Law’s Institute for Policy Integrity publishes policy reports/briefs.,
preview.yndc.org,1,Grey literature platforms,,Youngstown Neighborhood Development Corp. publishes community plans/reports.,
proceedings.scipy.org,1,Open access publishers,,SciPy Conference peer‑reviewed OA proceedings.,
profpubs.com,1,Grey literature platforms,,Professional publications/vendor site; not an academic publisher of record.,
publicationsncte.org,1,Scholarly society / association publishers,,National Council of Teachers of English publishes journals/books.,
publish.tntech.edu,1,University / institutional repositories,,Tennessee Tech library publishing/IR platform for journals and theses.,
pubs.aip.org,1,Scholarly society / association publishers,,American Institute of Physics journals and proceedings (society).,
pubs.lib.umn.edu,1,University / institutional repositories,,University of Minnesota Libraries Publishing (institutional journals).,
pwcva.gov,1,Government repositories,,Prince William County (VA) official site—plans/reports/documents.,
pwvas.org,1,Scholarly society / association publishers,,Proceedings of the West Virginia Academy of Science—society proceedings.,
rand.org,1,Grey literature platforms,,RAND Corporation—nonprofit research organization publishing reports and briefs.,
repository.kli.re.kr,1,University / institutional repositories,,Korea Labor Institute DSpace repository archiving research outputs.,
repository.library.georgetown.edu,1,University / institutional repositories,,Georgetown University institutional repository (DSpace) for theses and faculty works.,
repository.lsu.edu,1,University / institutional repositories,,LSU Digital Commons (IR) hosts theses/dissertations and scholarly works.,
repository.mines.edu,1,University / institutional repositories,,Colorado School of Mines institutional repository for theses and research outputs.,
repository.wellesley.edu,1,University / institutional repositories,,Wellesley College Digital Repository archiving theses and faculty scholarship.,
repositum.tuwien.at,1,University / institutional repositories,,TU Wien reposiTUm institutional repository for theses and publications.,
research-collection.ethz.ch,1,University / institutional repositories,,ETH Zurich Research Collection institutional repository.,
research.library.kutztown.edu,1,University / institutional repositories,,Kutztown University Research Commons (IR).,
researchinaction.com,1,Grey literature platforms,,Consulting/research firm site publishing white papers/blog posts; not a scholarly publisher.,
ripuc.ri.gov,1,Government repositories,,Rhode Island Public Utilities Commission—official dockets and documents.,
safety4sea.com,1,Grey literature platforms,,"Maritime news/insight portal; journalism/industry reports, not academic publishing.",
scholarinsightjournal.com,1,Open access publishers,,OA journal platform publishing peer-reviewed articles.,
scholarsarchive.library.albany.edu,1,University / institutional repositories,,University at Albany Scholars Archive (IR).,
scholarsbank.uoregon.edu,1,University / institutional repositories,,University of Oregon Scholars’ Bank institutional repository.,
scholarship.law.columbia.edu,1,University / institutional repositories,,Columbia Law School Scholarship Archive (IR).,
scholarship.law.unc.edu,1,University / institutional repositories,,UNC Law Scholarship Repository (IR).,
scholarship.law.wm.edu,1,University / institutional repositories,,William & Mary Law School Scholarship Repository (IR).,
scholarship.richmond.edu,1,University / institutional repositories,,University of Richmond Scholarship Repository (IR).,
scholarship.shu.edu,1,University / institutional repositories,,Seton Hall University eRepository (IR).,
scholarworks.sjsu.edu,1,University / institutional repositories,,SJSU ScholarWorks institutional repository.,
scholarworks.uark.edu,1,University / institutional repositories,,University of Arkansas ScholarWorks institutional repository.,
scholarworks.utep.edu,1,University / institutional repositories,,UTEP ScholarWorks institutional repository.,
scienceforgeorgia.org,1,Grey literature platforms,,Nonprofit advocacy/org publishing reports and policy briefs.,
sciepublish.com,1,Open access publishers,,SciePublish—open-access publisher of peer‑reviewed journals.,
selc.org,1,Grey literature platforms,,Southern Environmental Law Center nonprofit; policy/legal reports.,
shs.cairn.info,1,Grey literature platforms,,Cairn.info is a francophone journals/books aggregation/hosting platform; not original publisher of record.,
sierraclub.org,1,Grey literature platforms,,NGO publishing reports/briefs; not an academic publisher.,
sigmarepository.org,1,University / institutional repositories,,Sigma Nursing Repository (Sigma Theta Tau) archiving scholarly works/datasets.,
sjtpo.org,1,Government repositories,,South Jersey Transportation Planning Organization—MPO publishing official plans/reports.,
spp.ucr.edu,1,Grey literature platforms,,UC Riverside School of Public Policy—center outputs/working papers.,
stars.library.ucf.edu,1,University / institutional repositories,,UCF STARS institutional repository.,
tesidottorato.depositolegale.it,1,University / institutional repositories,,Italian national legal deposit for doctoral theses (repository).,
theicct.org,1,Grey literature platforms,,International Council on Clean Transportation—think tank reports/briefs.,
theseus.fi,1,University / institutional repositories,,Finnish national repository for UAS theses/publications.,
thurstonclimatecollaborative.org,1,Grey literature platforms,,Local collaborative publishing plans/resources (nonprofit/government partners).,
transport-links.com,1,Grey literature platforms,,Knowledge hub hosting reports/resources; not a primary academic publisher.,
usbr.gov,1,Government repositories,,U.S. Bureau of Reclamation—federal agency publications.,
usp510.github.io,1,Grey literature platforms,,GitHub Pages course/project site hosting materials; not a journal publisher.,
uta.pressbooks.pub,1,Grey literature platforms,,University of Texas Arlington Pressbooks OER/open textbooks platform.,
uwm.edu,1,Grey literature platforms,,University of Wisconsin–Milwaukee institutional site; working papers/reports possible.,
uwyo.edu,1,Grey literature platforms,,University of Wyoming institutional site; working papers/reports possible.,
vdot.virginia.gov,1,Government repositories,,Virginia Department of Transportation—state agency publications/data.,
via.library.depaul.edu,1,University / institutional repositories,,Via Sapientiae (DePaul University) institutional repository.,
villageofislandlake.com,1,Government repositories,,Village municipal government site hosting official documents.,
waportal.org,1,Government repositories,,Washington State Department of Health portal—official publications/data.,
water.ca.gov,1,Government repositories,,California Department of Water Resources—state agency publications and data.,
webthesis.biblio.polito.it,1,University / institutional repositories,,Politecnico di Torino Webthesis repository for theses.,
wes.copernicus.org,1,Scholarly society / association publishers,,Wind Energy Science (EGU journal) published by Copernicus; society‑owned publishing.,
… .us-ashburn-1.oci.customer-oci.com,1,None/Unknown,,Oracle Cloud object storage link; not a publisher (reason=false positive).,
… Jusfice Screening Tool (CEJST),1,None/Unknown,,Federal environmental justice mapping tool; not a publisher (reason=false positive).,